Depth,BW,PW,MH,Ratio,Stability,Label
91.44,6.1,6.1,1.52,4.01,Intact,I1
60.96,5.49,9.75,2.29,4.26,Intact,I0
114,5.49,12.8,1.98,6.46,Intact,I0
146.3,5.49,17.37,2.13,8.15,Intact,I0
91.44,5.49,12.8,2.07,6.18,Intact,I0
114,5.49,17.37,1.98,8.77,Intact,I0
106.68,6.1,9.14,1.68,5.44,Intact,I0
140.21,5.49,12.8,2.44,5.25,Intact,I0
93.88,5.49,9.75,1.98,4.92,Intact,I0
39.62,6.1,6.1,2.59,2.36,Intact,I0
91.44,6.1,6.1,1.55,3.94,Intact,I1
223.38,5,28,3.5,8,Intact,I0
173.22,5,25,4.2,5.95,Intact,I0
215.05,5,35,3,11.67,Intact,I0
254.45,5,35,4,8.75,Intact,I0
215.05,5,25,3,8.33,Intact,I0
62.48,6,10,2.2,4.55,Intact,I0
62.48,6,15,2.1,7.14,Intact,I0
62.48,6,9,2.25,4,Intact,I0
70,6,15,3,5,Intact,I0
122.17,6,12,2.8,4.29,Intact,I1
122,6.6,15.4,2.5,6.16,Intact,I0
122,6.6,15.4,2.5,6.16,Intact,I0
94,6.78,10.22,3,3.41,Intact,I1
94,6.8,10.2,2.8,3.64,Intact,I1
45.72,6.1,6.1,2.9,2.1,Intact,I1
60.96,6.1,7.62,2.9,2.63,Intact,I1
76.2,6.1,9.14,2.9,3.15,Intact,I1
91.44,6.1,10.67,2.9,3.68,Intact,I1
40.07,6,8,3.2,2.5,Intact,I0
40.07,6,7.5,3.2,2.34,Intact,I0
56.11,6,7.5,3.5,2.14,Intact,I1
111.91,6,13.4,3,4.47,Intact,I0
121.02,6,13,3.5,3.71,Intact,I1
143.26,5.49,12.8,1.68,7.62,Intact,I0
140.72,6,15,2.7,5.56,Intact,I0
83.43,6,12,2.8,4.29,Intact,I0
101.21,6,12,2.3,5.22,Intact,I0
114.35,6,12,2.3,5.22,Intact,I0
119.41,6,15,2.3,6.52,Intact,I0
114.3,6,12,2.6,4.62,Intact,I0
104.76,6,12,4.8,2.5,Intact,I1
130.75,6,15,2,7.5,Intact,I0
44.55,6,12,2.5,4.8,Intact,I0
44.55,6,12,3,4,Intact,I0
40.3,6,8,2.1,3.81,Intact,I0
37.36,6,10,2.8,3.57,Intact,I0
70.76,6,14,2.6,5.38,Intact,I0
44.55,6,6,3.3,1.82,Intact,I1
87.53,6,12,3.6,3.33,Intact,I0
90.22,6.71,8.53,2.9,2.94,Intact,I1
115.82,6.1,7.62,1.83,4.16,Intact,I1
84.84,6,7,2.26,3.1,Intact,I1
84.84,6,7,2.26,3.1,Intact,I1
84.84,6,7,2.26,3.1,Intact,I1
61.5,6,9.47,1.98,4.78,Intact,I0
61.5,6,9.26,1.98,4.68,Intact,I0
58.71,6,11,2.3,4.78,Intact,I0
58.71,6,7,2,3.5,Intact,I0
108.63,6,12.5,3.38,3.7,Intact,I1
108.63,6,18.5,3.65,5.07,Intact,I0
94.28,5,10,1.4,7.14,Intact,I0
94.28,5,10,1.7,5.88,Intact,I0
51.82,6.1,9.14,1.68,5.44,Intact,I0
64.01,7.62,7.62,3.05,2.5,Intact,I1
48.77,6.1,9.14,4.27,2.14,Intact,I1
108.51,6.71,8.53,2.29,3.72,Intact,I1
46.1,6.9,7.1,3.8,1.87,Intact,I1
50,5.7,9.3,3.65,2.55,Intact,I0
58.3,6,8.47,3.8,2.23,Intact,I1
59.3,6,11,3.7,2.97,Intact,I0
196,6,15,2.6,5.77,Intact,I1
64.92,6,20.57,3.5,5.88,Intact,I0
55,6.2,11.8,3.41,3.46,Intact,I0
65,6.02,10.98,3.2,3.43,Intact,I0
51,6.11,8.89,3.27,2.72,Intact,I0
68,6.34,11.66,3.4,3.43,Intact,I0
46,6.4,8.6,3.55,2.42,Intact,I0
74,5.69,11.31,3.41,3.32,Intact,I0
68,6.13,10.87,3.37,3.23,Intact,I0
68,7.1,12.9,4.06,3.18,Intact,I0
54,6.08,8.92,3.58,2.49,Intact,I0
70,6.32,10.68,3.25,3.29,Intact,I0
49,6.43,8.57,3.69,2.32,Intact,I1
51,6.35,8.65,3.64,2.38,Intact,I1
72,7.11,12.89,4.15,3.11,Intact,I0
77,5.96,10.04,2.94,3.41,Intact,I0
57,6.65,9.35,3.65,2.56,Intact,I1
75,6.3,10.7,3.41,3.14,Intact,I0
78,6.3,10.7,3.35,3.19,Intact,I1
54,6.48,8.52,3.69,2.31,Intact,I1
56,6.41,8.59,3.63,2.37,Intact,I1
64.92,6,9,3.6,2.5,Intact,I1
73,6.37,10.63,3.85,2.76,Intact,I1
81,6.99,13.01,4.31,3.02,Intact,I1
64.92,6,9,3.72,2.42,Intact,I1
75,6.97,10.03,3.07,3.27,Intact,I1
84,7.03,12.97,4.31,3.01,Intact,I1
79,6.42,13.58,5.89,2.31,Intact,I1
74,7.1,9.9,3.33,2.97,Intact,I1
71,6.68,12.32,5.84,2.11,Intact,I1
73,6.79,10.21,3.93,2.6,Intact,I1
