Depth,BW,PW,MH,Ratio,Stability,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,Pillar Stress,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7
90,6,7.5,4.8,1.5625,Failed,4094.226117,5320.336618,6060.132694,6438.599248,4180.320228,5099.711378,6037.584541,7290,0.561622238,0.729812979,0.831293922,0.883209773,0.57343213,0.699548886,0.828200897
57,5.4,3.6,1.35,2.666666667,Failed,10085.55755,10603.90068,10871.3469,10611.12164,7468.050697,10518.3263,10165.27359,8906.25,1.132413479,1.19061341,1.220642459,1.191424184,0.838517973,1.181005059,1.141364053
62,6.4,7.5,4,1.875,Failed,4913.071341,6192.943088,6948.132123,7261.912587,4621.247588,5965.426089,6859.462675,5324.008889,0.922814263,1.163210509,1.305056447,1.363993325,0.868001479,1.120476358,1.288401807
62,6.2,7.3,4,1.825,Failed,4847.121084,6109.812565,6854.864375,7172.182823,4601.30575,5885.349624,6767.385174,5300.947645,0.914387654,1.15258874,1.293139422,1.353000124,0.868015694,1.110244812,1.276636863
56,6.5,5.1,3.3,1.545454545,Failed,4910.815051,5994.395674,6618.842749,6904.71108,4829.598092,5804.242245,6471.825362,7242.752787,0.678031571,0.827640519,0.913857333,0.953326902,0.666818023,0.801386215,0.893558782
33,6.4,6.4,4.88,1.31147541,Failed,3720.082703,4847.509907,5529.139541,5920.632919,4038.688184,4644.418755,5513.121593,3300,1.127297789,1.468942396,1.675496831,1.794131188,1.223844904,1.407399623,1.670642907
22,6.5,3.5,1.6,2.1875,Failed,8390.66669,9075.791426,9436.837251,9363.420811,6771.226271,8961.346439,8899.210791,4489.795918,1.868830308,2.021426272,2.101841024,2.085489181,1.50813676,1.995936252,1.982096949
62,6.1,6.1,4,1.525,Failed,4430.853146,5585.105418,6266.172612,6603.505743,4470.97466,5379.919223,6186.206074,6200,0.714653733,0.900823455,1.010673002,1.065081571,0.721124945,0.867728907,0.997775173
62,6.1,6.1,4,1.525,Failed,4430.853146,5585.105418,6266.172612,6603.505743,4470.97466,5379.919223,6186.206074,6200,0.714653733,0.900823455,1.010673002,1.065081571,0.721124945,0.867728907,0.997775173
41,6.4,6.4,6.2,1.032258065,Failed,2928.065095,3971.093747,4620.390156,5055.297319,3540.428244,3780.206844,4662.483027,4100,0.714162218,0.96855945,1.126924428,1.232999346,0.863519084,0.922001669,1.137190982
41,6.4,6.4,6.2,1.032258065,Failed,2928.065095,3971.093747,4620.390156,5055.297319,3540.428244,3780.206844,4662.483027,4100,0.714162218,0.96855945,1.126924428,1.232999346,0.863519084,0.922001669,1.137190982
41,6.4,6.4,6.2,1.032258065,Failed,2928.065095,3971.093747,4620.390156,5055.297319,3540.428244,3780.206844,4662.483027,4100,0.714162218,0.96855945,1.126924428,1.232999346,0.863519084,0.922001669,1.137190982
35.5,5.5,5.5,2.2,2.5,Failed,7649.641703,8726.21043,9316.370771,9342.224465,6109.532591,8542.407194,8926.617536,3550,2.154828649,2.458087445,2.624329795,2.631612525,1.720995096,2.406311886,2.514540151
32,6.4,3.3,2.3,1.434782609,Failed,5667.761463,6513.585415,6979.808751,7172.300394,5494.072051,6368.739143,6702.687076,6912.029385,0.819985152,0.942354995,1.009806001,1.037654789,0.794856582,0.921399315,0.969713336
32.5,6.5,3.2,2.1,1.523809524,Failed,6112.770974,6919.086287,7358.561911,7509.07921,5747.59045,6781.860085,7034.333303,7465.637207,0.818787574,0.926791122,0.985657581,1.005818928,0.769872724,0.908410079,0.942228119
43,6.2,4.8,2.8,1.714285714,Failed,5614.938675,6668.381049,7263.309078,7483.919347,5235.330589,6485.554927,7043.872013,5645.616319,0.994566112,1.181160864,1.286539621,1.325616004,0.927326671,1.148777133,1.247671045
86.4,6.5,7.5,4.6,1.630434783,Failed,4272.235949,5512.337348,6256.690727,6622.019302,4279.326516,5289.825264,6220.160758,7526.4,0.56763339,0.732400264,0.831299257,0.879838874,0.568575483,0.702836052,0.826445679
102,6.2,7.6,4.5,1.688888889,Failed,4396.192615,5651.493107,6402.946025,6759.840105,4340.559584,5426.58318,6358.570575,8407.583102,0.52288423,0.672189979,0.761567973,0.804017043,0.516267223,0.645439137,0.756289947
