Depth,BW,PW,MH,Ratio,Stability,Relabel_3
48.77,6.4,7.32,2.44,3,Intact,Intact
45.72,6.1,6.1,1.68,3.630952381,Intact,Intact
60.96,6.1,7.62,1.68,4.535714286,Intact,Intact
76.2,6.1,9.14,1.68,5.44047619,Intact,Intact
33.53,5.49,6.71,3.96,1.694444444,Intact,Intact
70,6,12,2.6,4.615384615,Intact,Intact
70,5,20.57,2.6,7.911538462,Intact,Intact
70,5,15.44,2.6,5.938461538,Intact,Intact
38.1,5.49,4.27,1.52,2.809210526,Intact,Intact
79.4,6,24,3,8,Intact,Intact
138.89,6,31.06,3,10.35333333,Intact,Intact
79.4,6,19.47,3,6.49,Intact,Intact
30.48,6.1,6.1,3.2,1.90625,Intact,Intact
42.8,6,7,2.2,3.181818182,Intact,Intact
67.8,6,11.73,4,2.9325,Intact,Intact
36.3,6,8,3.7,2.162162162,Intact,Intact
51.8,6.02,10.98,2.88,3.8125,Intact,Intact
68.9,6,12.9,3,4.3,Intact,Intact
33.8,6,8,2.4,3.333333333,Intact,Intact
52.8,6,8,3,2.666666667,Intact,Intact
52.8,6,11.3,3,3.766666667,Intact,Intact
91.44,6.1,12.19,1.52,8.019736842,Intact,Intact
35.05,5.49,9.75,2.44,3.995901639,Intact,Intact
50.6,6.1,6.1,1.37,4.452554745,Intact,Intact
76.2,6.1,9.14,1.37,6.671532847,Intact,Intact
35.05,4.88,7.32,2.59,2.826254826,Intact,Intact
22,6,6,1.5,4,Intact,Intact
19.81,6.1,7.62,3.2,2.38125,Intact,Intact
29.77,5,14,3,4.666666667,Intact,Intact
58.53,6,11.42,3.5,3.262857143,Intact,Intact
58.53,6,14,3.5,4,Intact,Intact
42.59,6,15,3.7,4.054054054,Intact,Intact
13.22,6,8,2.6,3.076923077,Intact,Intact
65.78,5,10,2.2,4.545454545,Intact,Intact
54.65,5,10,2.2,4.545454545,Intact,Intact
54.99,5,9.47,3,3.156666667,Intact,Intact
70.1,6,12,3.35,3.582089552,Intact,Intact
21.34,6.71,6.1,2.74,2.226277372,Intact,Intact
30.48,6.4,6.4,3.66,1.74863388,Intact,Intact
41.15,6.4,6.4,1.98,3.232323232,Intact,Intact
78.54,6,14,2.7,5.185185185,Intact,Intact
78.54,6,14,2.4,5.833333333,Intact,Intact
49,6.43,8.57,3.69,2.322493225,Intact,Intact
51,6.35,8.65,3.64,2.376373626,Intact,Intact
97.27,6.04,8.63,1.37,6.299270073,Intact,Intact
121.92,5.49,12.8,2.29,5.589519651,Intact,Intact
108,6,9,1.14,7.894736842,Intact,Intact
208,6,17,1.2,14.16666667,Intact,Intact
208,6,17,1.1,15.45454545,Intact,Intact
166,6,17,1.48,11.48648649,Intact,Intact
77.65,5.84,12,3.8,3.157894737,Intact,Intact
108.75,6,14,3,4.666666667,Intact,Intact
137,5.84,21.82,2.84,7.683098592,Intact,Intact
106,6.35,15.84,3.16,5.012658228,Intact,Intact
146.3,5.49,17.37,2.13,8.154929577,Intact,Intact
93.88,5.49,9.75,1.98,4.924242424,Intact,Intact
122,6.6,15.4,2.5,6.16,Intact,Intact
122,6.6,15.4,2.5,6.16,Intact,Intact
143.26,5.49,12.8,1.68,7.619047619,Intact,Intact
101.21,6,12,2.3,5.217391304,Intact,Intact
114.35,6,12,2.3,5.217391304,Intact,Intact
119.41,6,15,2.3,6.52173913,Intact,Intact
130.75,6,15,2,7.5,Intact,Intact
108.63,6,18.5,3.65,5.068493151,Intact,Intact
68,7.1,12.9,4.06,3.177339901,Intact,Intact
70,6.32,10.68,3.25,3.286153846,Intact,Intact
77,5.96,10.04,2.94,3.414965986,Intact,Intact
93.8,6,14,3.6,3.888888889,Intact,Intact
93.8,6,14.7,3.2,4.59375,Intact,Intact
109,6.48,17.5,3.67,4.768392371,Intact,Intact
92.28,6.93,17.07,3.87,4.410852713,Intact,Intact
122,6.71,21,3.29,6.382978723,Intact,Intact
122,6.71,21.2,3.29,6.443768997,Intact,Intact
167.64,3.69,14.33,1.98,7.237373737,Intact,Intact
140.21,5.49,17.37,2.44,7.118852459,Intact,Intact
146,5.49,16.46,2.41,6.829875519,Intact,Intact
83.92,6,11.47,3,3.823333333,Intact,Intact
87.6,6,12,2.8,4.285714286,Intact,Intact
110.5,5,12,2.8,4.285714286,Intact,Intact
84,5.89,11,2.77,3.971119134,Intact,Intact
84,5.89,11.5,2.77,4.151624549,Intact,Intact
124.9,5.73,18.27,2.67,6.842696629,Intact,Intact
110,6.18,17.82,3.46,5.150289017,Intact,Intact
82,6,12,3,4,Intact,Intact
67.8,6,11,4,2.75,Intact,Intact
104,6,12,3,4,Failed,Unstable
118.62,6,15,3.5,4.285714286,Intact,Unstable
183.83,6.93,12.99,1.23,10.56097561,Intact,Unstable
150,6,9,1.15,7.826086957,Intact,Unstable
106.68,6.1,9.14,1.68,5.44047619,Intact,Unstable
165.45,6.32,11.66,1.45,8.04137931,Intact,Unstable
171.7,6.81,21.19,2.9,7.306896552,Intact,Unstable
223.38,5,28,3.5,8,Intact,Unstable
173.22,5,25,4.2,5.952380952,Intact,Unstable
215.05,5,25,3,8.333333333,Intact,Unstable
91.44,6.1,10.67,2.9,3.679310345,Intact,Unstable
111.91,6,13.4,3,4.466666667,Intact,Unstable
140.72,6,15,2.7,5.555555556,Intact,Unstable
114.3,6,12,2.6,4.615384615,Intact,Unstable
106,7.5,16.47,3.5,4.705714286,Intact,Unstable
25.98,5.53,3.11,1.34,2.320895522,Intact,Unstable
26.83,5.09,2.91,1.33,2.187969925,Intact,Unstable
39.95,6.08,6.89,3.7,1.862162162,Intact,Unstable
42.67,5.49,5.49,2.59,2.11969112,Intact,Unstable
74,5,10,4,2.5,Failed,Unstable
