Depth,BW,PW,MH,Ratio,Label
50.6,6.1,6.1,1.37,4.452554745,I0
76.2,6.1,9.14,1.37,6.671532847,I0
35.05,4.88,7.32,2.59,2.826254826,I0
42,10,5,1.8,2.777777778,I1
36,7,5,2.4,2.083333333,I1
38,7,5,1.8,2.777777778,I1
22,6,6,1.5,4,I0
36.58,6.1,6.1,3.66,1.666666667,I1
51.82,6.1,7.62,3.66,2.081967213,I1
137.16,5.49,12.8,3.66,3.49726776,I1
91.44,6.1,9.14,4.57,2,I1
45.72,6.1,7.62,4.88,1.56147541,I1
19.81,6.1,7.62,3.2,2.38125,I0
29.77,5,14,3,4.666666667,I0
58.53,6,11.42,3.5,3.262857143,I0
58.53,6,14,3.5,4,I0
42.59,6,15,3.7,4.054054054,I0
13.22,6,8,2.6,3.076923077,I0
65.78,5,10,2.2,4.545454545,I0
54.65,5,10,2.2,4.545454545,I0
54.99,5,9.47,3,3.156666667,I0
45.72,6.4,6.55,3.51,1.866096866,I1
82,6,12,3,4,I0
70.1,6,12,3.35,3.582089552,I0
21.34,6.71,6.1,2.74,2.226277372,I0
30.48,6.4,6.4,3.66,1.74863388,I0
41.15,6.4,6.4,1.98,3.232323232,I0
78.54,6,14,2.7,5.185185185,I0
78.54,6,14,2.4,5.833333333,I0
