Depth,PW,BW,MH,Stability,cluster,Label
68,12.9,7.1,4.06,Intact,1,I1
54,8.92,6.08,3.58,Intact,1,I1
70,10.68,6.32,3.25,Intact,1,I1
49,8.57,6.43,3.69,Intact,1,I1
51,8.65,6.35,3.64,Intact,1,I1
72,12.89,7.11,4.15,Intact,1,I1
77,10.04,5.96,2.94,Intact,0,I0
57,9.35,6.65,3.65,Intact,1,I1
75,10.7,6.3,3.41,Intact,1,I1
78,10.7,6.3,3.35,Intact,1,I1
54,8.52,6.48,3.69,Intact,1,I1
56,8.59,6.41,3.63,Intact,1,I1
64.92,9,6,3.6,Intact,1,I1
73,10.63,6.37,3.85,Intact,1,I1
81,13.01,6.99,4.31,Intact,1,I1
64.92,9,6,3.72,Intact,1,I1
75,10.03,6.97,3.07,Intact,1,I1
84,12.97,7.03,4.31,Intact,1,I1
79,13.58,6.42,5.89,Intact,1,I1
74,9.9,7.1,3.33,Intact,1,I1
71,12.32,6.68,5.84,Intact,1,I1
73,10.21,6.79,3.93,Intact,1,I1
83,13.66,6.34,6.13,Intact,1,I1
75,11.03,5.97,5.5,Intact,1,I1
77,10.22,6.78,4.05,Intact,1,I1
71,10.7,6.3,5.5,Intact,1,I1
76,10.8,6.2,5.5,Intact,1,I1
66,10.92,7.08,6.45,Intact,1,I1
76,8.85,7.15,3.48,Intact,1,I1
77,9.81,7.19,4.86,Intact,1,I1
93.8,14,6,3.6,Intact,0,I0
93.8,14.92,6,3,Intact,0,I0
93.8,14.7,6,3.2,Intact,0,I0
109,17.5,6.48,3.67,Intact,1,I1
106,16.47,7.5,3.5,Intact,1,I1
92.28,17.07,6.93,3.87,Intact,1,I1
122,21,6.71,3.29,Intact,1,I1
122,21.2,6.71,3.29,Intact,1,I1
97.54,9.14,6.1,3.2,Intact,0,I0
106.68,15.24,6.1,4.88,Intact,1,I1
45.72,4.88,6.1,1.65,Intact,0,I0
60.96,4.88,6.1,1.55,Intact,0,I0
60.96,7.01,6.71,2.59,Intact,1,I1
30.48,2.74,5.49,1.55,Intact,0,I0
85.34,7.62,6.1,3.2,Intact,1,I1
167.64,14.33,3.69,1.98,Intact,0,I0
108.51,7.62,6.71,2.29,Intact,1,I1
42.67,4.27,5.49,2.59,Intact,0,I0
140.21,17.37,5.49,2.44,Intact,0,I0
160.93,14.94,6.31,2.96,Intact,0,I0
180.44,15.24,5.97,2.99,Intact,0,I0
163.98,15,6.22,2.8,Intact,0,I0
146,16.46,5.49,2.41,Intact,0,I0
198.12,17.16,5.7,2.83,Intact,0,I0
182.88,15.85,5.49,4.88,Intact,1,I1
36.58,7.32,4.88,1.83,Intact,0,I0
91.44,7.62,6.1,1.68,Intact,0,I0
60.96,9.14,6.1,4.88,Intact,1,I1
76.2,10.67,6.1,4.88,Intact,1,I1
91.44,12.19,6.1,4.88,Intact,1,I1
45.72,6.1,6.1,3.05,Intact,0,I0
178.49,19,6,2.3,Intact,0,I0
195.15,20,6,2.1,Intact,0,I0
203.42,19,6,1.7,Intact,0,I0
203.42,19,6,1.7,Intact,0,I0
42.67,5.49,5.49,2.59,Intact,0,I0
91.44,6.1,6.1,1.68,Intact,0,I0
48.77,7.32,6.4,2.44,Intact,0,I0
83.92,11.47,6,3,Intact,0,I0
87.6,12,6,2.8,Intact,0,I0
45.72,6.1,6.1,3.96,Intact,1,I1
60.96,7.62,6.1,3.96,Intact,1,I1
45.72,6.1,6.1,1.68,Intact,0,I0
60.96,7.62,6.1,1.68,Intact,0,I0
76.2,9.14,6.1,3.96,Intact,1,I1
91.44,12.19,6.1,3.96,Intact,1,I1
76.2,9.14,6.1,1.68,Intact,0,I0
33.53,6.71,5.49,3.96,Intact,0,I0
115.82,9.14,6.1,1.83,Intact,0,I0
169,21.81,6.19,2.58,Intact,0,I0
70,12,6,2.6,Intact,0,I0
104,11,6,3,Intact,0,I0
110.5,12,5,2.8,Intact,0,I0
110.5,12,5,3,Intact,0,I0
70,20.57,5,2.6,Intact,0,I0
70,15.44,5,2.6,Intact,0,I0
93,10,6,2.9,Intact,0,I0
84,11,5.89,2.77,Intact,0,I0
84,11.5,5.89,2.77,Intact,0,I0
47.24,6.1,7.62,5.18,Intact,1,I1
64.01,6.1,6.25,3.44,Intact,1,I1
91.44,10.67,6.1,4.27,Intact,1,I1
38.1,4.27,5.49,1.52,Intact,0,I0
106.68,12.19,6.1,4.27,Intact,1,I1
88.39,9.14,6.1,3.05,Intact,0,I0
84.65,6,6,1.75,Intact,0,I0
85.34,7.62,6.1,3.05,Intact,0,I0
108.51,8.84,6.4,2.29,Intact,0,I0
79.4,24,6,3,Intact,0,I0
138.89,17.78,6,3,Intact,0,I0
138.89,31.06,6,3,Intact,0,I0
79.4,19.47,6,3,Intact,0,I0
60.96,7.01,6.71,3.35,Intact,1,I1
30.48,6.1,6.1,3.2,Intact,1,I1
44.2,6.1,6.1,4.27,Intact,1,I1
42.8,7,6,2.2,Intact,0,I0
67.8,11,6,4,Intact,1,I1
67.8,11.73,6,4,Intact,1,I1
36.3,8,6,3.7,Intact,1,I1
51.8,10.98,6.02,2.88,Intact,0,I0
124.9,18.27,5.73,2.67,Intact,0,I0
110,17.82,6.18,3.46,Intact,0,I0
146.2,19.89,6.29,2.91,Intact,0,I0
68.9,12.9,6,3,Intact,0,I0
34.5,5.5,6.5,5.5,Intact,1,I1
33.8,8,6,2.4,Intact,0,I0
52.8,8,6,3,Intact,0,I0
38.37,8.1,6.4,5.9,Intact,1,I1
52.8,11.3,6,3,Intact,0,I0
45.72,6.1,6.1,4.57,Intact,1,I1
219.46,21.73,5.58,3.17,Intact,0,I0
76.2,7.62,6.1,4.57,Intact,1,I1
106.68,6.71,5.49,1.19,Intact,0,I0
182.88,16.92,5.94,2.44,Intact,0,I0
91.44,12.19,6.1,1.52,Intact,0,I0
35.05,9.75,5.49,2.44,Intact,0,I0
50.6,6.1,6.1,1.37,Intact,0,I0
76.2,9.14,6.1,1.37,Intact,0,I0
35.05,7.32,4.88,2.59,Intact,0,I0
42,5,10,1.8,Intact,1,I1
36,5,7,2.4,Intact,1,I1
38,5,7,1.8,Intact,1,I1
22,6,6,1.5,Intact,0,I0
36.58,6.1,6.1,3.66,Intact,1,I1
51.82,7.62,6.1,3.66,Intact,1,I1
137.16,12.8,5.49,3.66,Intact,0,I0
91.44,9.14,6.1,4.57,Intact,1,I1
45.72,7.62,6.1,4.88,Intact,1,I1
19.81,7.62,6.1,3.2,Intact,1,I1
29.77,14,5,3,Intact,0,I0
58.53,11.42,6,3.5,Intact,0,I0
58.53,14,6,3.5,Intact,0,I0
42.59,15,6,3.7,Intact,0,I0
13.22,8,6,2.6,Intact,0,I0
65.78,10,5,2.2,Intact,0,I0
