Depth,PW,BW,MH,Stability
55.75,10.28,6,2.8,Intact
55.75,11,6,3,Intact
79.92,9,6,2.9,Intact
34.15,8,6,3,Intact
36.53,7,6,3,Intact
45.72,4.27,5.49,1.19,Intact
68.58,5.18,5.49,1.19,Intact
91.44,6.1,5.49,1.19,Intact
76.2,7.62,6.1,1.37,Intact
30.48,5.49,6.71,2.59,Intact
63.64,14,6,3,Intact
70.79,12,6,2.2,Intact
118.62,15,6,3.5,Intact
108.75,14,6,3,Intact
53.86,7,6,5,Intact
98.72,13,6,4,Intact
170,22,6,2.6,Intact
154,21.37,6.26,2.72,Intact
171.7,21.19,6.81,2.9,Intact
151,23.85,6.15,3.34,Intact
137,21.82,5.84,2.84,Intact
106,15.84,6.35,3.16,Intact
91.44,6.1,6.1,1.52,Intact
60.96,9.75,5.49,2.29,Intact
114,12.8,5.49,1.98,Intact
146.3,17.37,5.49,2.13,Intact
91.44,12.8,5.49,2.07,Intact
114,17.37,5.49,1.98,Intact
106.68,9.14,6.1,1.68,Intact
140.21,12.8,5.49,2.44,Intact
93.88,9.75,5.49,1.98,Intact
39.62,6.1,6.1,2.59,Intact
91.44,6.1,6.1,1.55,Intact
223.38,28,5,3.5,Intact
173.22,25,5,4.2,Intact
215.05,35,5,3,Intact
254.45,35,5,4,Intact
215.05,25,5,3,Intact
62.48,10,6,2.2,Intact
62.48,15,6,2.1,Intact
62.48,9,6,2.25,Intact
70,15,6,3,Intact
122.17,12,6,2.8,Intact
122,15.4,6.6,2.5,Intact
122,15.4,6.6,2.5,Intact
94,10.22,6.78,3,Intact
94,10.2,6.8,2.8,Intact
45.72,6.1,6.1,2.9,Intact
60.96,7.62,6.1,2.9,Intact
76.2,9.14,6.1,2.9,Intact
91.44,10.67,6.1,2.9,Intact
40.07,8,6,3.2,Intact
40.07,7.5,6,3.2,Intact
56.11,7.5,6,3.5,Intact
111.91,13.4,6,3,Intact
121.02,13,6,3.5,Intact
143.26,12.8,5.49,1.68,Intact
140.72,15,6,2.7,Intact
83.43,12,6,2.8,Intact
101.21,12,6,2.3,Intact
114.35,12,6,2.3,Intact
119.41,15,6,2.3,Intact
114.3,12,6,2.6,Intact
104.76,12,6,4.8,Intact
130.75,15,6,2,Intact
44.55,12,6,2.5,Intact
44.55,12,6,3,Intact
40.3,8,6,2.1,Intact
37.36,10,6,2.8,Intact
70.76,14,6,2.6,Intact
44.55,6,6,3.3,Intact
87.53,12,6,3.6,Intact
90.22,8.53,6.71,2.9,Intact
115.82,7.62,6.1,1.83,Intact
84.84,7,6,2.26,Intact
84.84,7,6,2.26,Intact
84.84,7,6,2.26,Intact
61.5,9.47,6,1.98,Intact
61.5,9.26,6,1.98,Intact
58.71,11,6,2.3,Intact
58.71,7,6,2,Intact
108.63,12.5,6,3.38,Intact
108.63,18.5,6,3.65,Intact
94.28,10,5,1.4,Intact
94.28,10,5,1.7,Intact
51.82,9.14,6.1,1.68,Intact
64.01,7.62,7.62,3.05,Intact
48.77,9.14,6.1,4.27,Intact
108.51,8.53,6.71,2.29,Intact
46.1,7.1,6.9,3.8,Intact
50,9.3,5.7,3.65,Intact
58.3,8.47,6,3.8,Intact
59.3,11,6,3.7,Intact
196,15,6,2.6,Intact
64.92,20.57,6,3.5,Intact
55,11.8,6.2,3.41,Intact
65,10.98,6.02,3.2,Intact
51,8.89,6.11,3.27,Intact
68,11.66,6.34,3.4,Intact
46,8.6,6.4,3.55,Intact
74,11.31,5.69,3.41,Intact
68,10.87,6.13,3.37,Intact
68,12.9,7.1,4.06,Intact
54,8.92,6.08,3.58,Intact
70,10.68,6.32,3.25,Intact
49,8.57,6.43,3.69,Intact
51,8.65,6.35,3.64,Intact
72,12.89,7.11,4.15,Intact
77,10.04,5.96,2.94,Intact
57,9.35,6.65,3.65,Intact
75,10.7,6.3,3.41,Intact
78,10.7,6.3,3.35,Intact
54,8.52,6.48,3.69,Intact
56,8.59,6.41,3.63,Intact
64.92,9,6,3.6,Intact
73,10.63,6.37,3.85,Intact
