Depth,BW,PW,MH,Ratio,Stability
146,5.49,16.46,2.41,6.829875519,Intact
198.12,5.7,17.16,2.83,6.06360424,Intact
182.88,5.49,15.85,4.88,3.24795082,Intact
36.58,4.88,7.32,1.83,4,Intact
91.44,6.1,7.62,1.68,4.535714286,Intact
60.96,6.1,9.14,4.88,1.87295082,Intact
76.2,6.1,10.67,4.88,2.18647541,Intact
91.44,6.1,12.19,4.88,2.49795082,Intact
45.72,6.1,6.1,3.05,2,Intact
178.49,6,19,2.3,8.260869565,Intact
195.15,6,20,2.1,9.523809524,Intact
203.42,6,19,1.7,11.17647059,Intact
203.42,6,19,1.7,11.17647059,Intact
42.67,5.49,5.49,2.59,2.11969112,Intact
91.44,6.1,6.1,1.68,3.630952381,Intact
48.77,6.4,7.32,2.44,3,Intact
83.92,6,11.47,3,3.823333333,Intact
87.6,6,12,2.8,4.285714286,Intact
45.72,6.1,6.1,3.96,1.54040404,Intact
60.96,6.1,7.62,3.96,1.924242424,Intact
45.72,6.1,6.1,1.68,3.630952381,Intact
60.96,6.1,7.62,1.68,4.535714286,Intact
76.2,6.1,9.14,3.96,2.308080808,Intact
91.44,6.1,12.19,3.96,3.078282828,Intact
76.2,6.1,9.14,1.68,5.44047619,Intact
33.53,5.49,6.71,3.96,1.694444444,Intact
115.82,6.1,9.14,1.83,4.994535519,Intact
169,6.19,21.81,2.58,8.453488372,Intact
70,6,12,2.6,4.615384615,Intact
104,6,11,3,3.666666667,Intact
110.5,5,12,2.8,4.285714286,Intact
110.5,5,12,3,4,Intact
70,5,20.57,2.6,7.911538462,Intact
70,5,15.44,2.6,5.938461538,Intact
93,6,10,2.9,3.448275862,Intact
84,5.89,11,2.77,3.971119134,Intact
84,5.89,11.5,2.77,4.151624549,Intact
47.24,7.62,6.1,5.18,1.177606178,Intact
64.01,6.25,6.1,3.44,1.773255814,Intact
91.44,6.1,10.67,4.27,2.49882904,Intact
38.1,5.49,4.27,1.52,2.809210526,Intact
106.68,6.1,12.19,4.27,2.854800937,Intact
