Depth,PW,BW,MH,Ratio,Stability,cluster,Label
108,9,6,1.14,7.894736842,Intact,0,I0
108,9,6,1.1,8.181818182,Intact,0,I0
150,9,6,1.15,7.826086957,Intact,0,I0
208,17,6,1.2,14.16666667,Intact,0,I0
208,17,6,1.1,15.45454545,Intact,0,I0
166,17,6,1.48,11.48648649,Intact,0,I0
174,17,6,1.17,14.52991453,Intact,0,I0
64.47,9,6,1.89,4.761904762,Intact,0,I0
50,10,6,3.8,2.631578947,Intact,1,I1
34.6,12.21,5.6,3.4,3.591176471,Intact,0,I0
77.65,12,5.84,3.8,3.157894737,Intact,0,I0
55.75,10.28,6,2.8,3.671428571,Intact,0,I0
55.75,11,6,3,3.666666667,Intact,0,I0
79.92,9,6,2.9,3.103448276,Intact,0,I0
34.15,8,6,3,2.666666667,Intact,0,I0
36.53,7,6,3,2.333333333,Intact,0,I0
45.72,4.27,5.49,1.19,3.588235294,Intact,0,I0
68.58,5.18,5.49,1.19,4.352941176,Intact,0,I0
91.44,6.1,5.49,1.19,5.12605042,Intact,0,I0
76.2,7.62,6.1,1.37,5.562043796,Intact,0,I0
30.48,5.49,6.71,2.59,2.11969112,Intact,1,I1
63.64,14,6,3,4.666666667,Intact,0,I0
70.79,12,6,2.2,5.454545455,Intact,0,I0
118.62,15,6,3.5,4.285714286,Intact,0,I0
108.75,14,6,3,4.666666667,Intact,0,I0
53.86,7,6,5,1.4,Intact,1,I1
98.72,13,6,4,3.25,Intact,1,I1
170,22,6,2.6,8.461538462,Intact,0,I0
154,21.37,6.26,2.72,7.856617647,Intact,0,I0
171.7,21.19,6.81,2.9,7.306896552,Intact,0,I0
151,23.85,6.15,3.34,7.140718563,Intact,0,I0
137,21.82,5.84,2.84,7.683098592,Intact,0,I0
106,15.84,6.35,3.16,5.012658228,Intact,0,I0
91.44,6.1,6.1,1.52,4.013157895,Intact,0,I0
60.96,9.75,5.49,2.29,4.257641921,Intact,0,I0
114,12.8,5.49,1.98,6.464646465,Intact,0,I0
146.3,17.37,5.49,2.13,8.154929577,Intact,0,I0
91.44,12.8,5.49,2.07,6.183574879,Intact,0,I0
114,17.37,5.49,1.98,8.772727273,Intact,0,I0
